,city,company,location,summary,title,text,predicted_salary_range
0,los angeles,amazon corporate llc,"Manhattan Beach, CA",our natural language processing and machine learning scientist work closely with software engineers to put algorithms into practice,applied scientist,los angeles our natural language processing and machine learning scientist work closely with software engineers to put algorithms into practice applied scientist,$66000 to $150000
1,los angeles,goleta star,"Torrance, CA",experience with the hough transform support vector machines and deep learning neural networks the data scientist will work with a diverse group of software,image analysis scientist,los angeles experience with the hough transform support vector machines and deep learning neural networks the data scientist will work with a diverse group of software image analysis scientist,$66000 to $150000
2,los angeles,anthem inc,"Downey, CA",model document and present strategic solution alternatives to executive management requires ma ms in statistics computer science mathematics machine,healthcare data scientist 127549,los angeles model document and present strategic solution alternatives to executive management requires ma ms in statistics computer science mathematics machine healthcare data scientist 127549,$66000 to $150000
3,los angeles,jet propulsion laboratory,"Pasadena, CA",this individual will be responsible for applying modern open source techniques for data analysis performing research in the area of data science as it applies,data scientist i,los angeles this individual will be responsible for applying modern open source techniques for data analysis performing research in the area of data science as it applies data scientist i,$66000 to $150000
4,los angeles,neohire south,"Century City, CA",proven ability to do analytic or modeling work in languages such as r python java or scala as well as bash,data scientist,los angeles proven ability to do analytic or modeling work in languages such as r python java or scala as well as bash data scientist,$66000 to $150000
5,los angeles,sony pictures entertainment inc,"Culver City, CA 90232",reporting to senior vp analytic business insights this role will provide guidance for home entertartificial intelligencenment in data driven decision making and use analytic to,data scientist,los angeles reporting to senior vp analytic business insights this role will provide guidance for home entertartificial intelligencenment in data driven decision making and use analytic to data scientist,above $150000
6,los angeles,spacex,"Hawthorne, CA",as a data scientist in this team you would identify and prioritize challenges in the supply base and supply chartificial intelligencen operations requiring the use of advanced data,data scientist,los angeles as a data scientist in this team you would identify and prioritize challenges in the supply base and supply chartificial intelligencen operations requiring the use of advanced data data scientist,above $150000
7,los angeles,hulu,"Santa Monica, CA",we are looking for data scientist who are passionate about using data to drive strategy and product recommendations,data scientist,los angeles we are looking for data scientist who are passionate about using data to drive strategy and product recommendations data scientist,$66000 to $150000
8,los angeles,air liquide,"Los Angeles, CA",cr er des relations solides avec les quipes recherche et d veloppement du groupe notamment avec les data scientist et les ing nieurs r d en math matiques,digital data scientist h f,los angeles cr er des relations solides avec les quipes recherche et d veloppement du groupe notamment avec les data scientist et les ing nieurs r d en math matiques digital data scientist h f,$66000 to $150000
9,los angeles,grindr,"Los Angeles, CA 90046",the data scientist will work cross functionally with product managers and engineers to deliver actionable results and should be comfortable working with agile,data scientist,los angeles the data scientist will work cross functionally with product managers and engineers to deliver actionable results and should be comfortable working with agile data scientist,$66000 to $150000
10,los angeles,loot crate,"Los Angeles, CA 90031",lead predictive analytic and machine learning efforts in the areas of customer retention long term 6 9 month growth forecasting customer insights and,data scientist,los angeles lead predictive analytic and machine learning efforts in the areas of customer retention long term 6 9 month growth forecasting customer insights and data scientist,above $150000
11,los angeles,bcg digital ventures,"Manhattan Beach, CA",e g real time data reporting and visualization services such as artificial intelligence driven actionable insights and recommendations,data scientist b2b ecommerce startup portfolio companies,los angeles e g real time data reporting and visualization services such as artificial intelligence driven actionable insights and recommendations data scientist b2b ecommerce startup portfolio companies,$66000 to $150000
12,los angeles,goat,"Los Angeles, CA",proficiency in statistical analytic and machine learning algorithms especially for supervised and unsupervised methods,data scientist,los angeles proficiency in statistical analytic and machine learning algorithms especially for supervised and unsupervised methods data scientist,$66000 to $150000
13,los angeles,yomdle inc,"Los Angeles, CA",co founded by accomplished scientist with deep experience in blending government and commercial business models for high tech markets yomdle has already,machine learning research engineer,los angeles co founded by accomplished scientist with deep experience in blending government and commercial business models for high tech markets yomdle has already machine learning research engineer,$66000 to $150000
14,chicago,invesco,"Downers Grove, IL 60515",proficiency in statistical data analysis and data mining packages e g r sas spss alteryx matlab stata excel,data scientist sales analytic,chicago proficiency in statistical data analysis and data mining packages e g r sas spss alteryx matlab stata excel data scientist sales analytic,$66000 to $150000
15,chicago,vizient inc,"Chicago, IL 60606",serves as the resident data expert and share best practices approaches for statistics machine learning techniques data modeling simulation and advanced,data scientist,chicago serves as the resident data expert and share best practices approaches for statistics machine learning techniques data modeling simulation and advanced data scientist,$66000 to $150000
16,chicago,predictive science,United States,this is a freelance data scientist position who will work with other senior data scientist to consult with executives and data scientist who are a part of the,data scientist,chicago this is a freelance data scientist position who will work with other senior data scientist to consult with executives and data scientist who are a part of the data scientist,$66000 to $150000
17,chicago,xaqt,"Chicago, IL",your primary focus will be in applying data mining techniques doing statistical analysis and building high quality prediction systems integrated with our,data scientist,chicago your primary focus will be in applying data mining techniques doing statistical analysis and building high quality prediction systems integrated with our data scientist,$66000 to $150000
18,chicago,amtrust financial services,"Chicago, IL",demonstrated skills in data mining machine learning programming dynamic optimization relevant experience in statistical quantitative modeling and or machine,data scientist,chicago demonstrated skills in data mining machine learning programming dynamic optimization relevant experience in statistical quantitative modeling and or machine data scientist,$66000 to $150000
19,chicago,cars com,"Chicago, IL",deep understanding of machine learning and data mining techniques decision trees probability networks association rules clustering regression strong,data scientist,chicago deep understanding of machine learning and data mining techniques decision trees probability networks association rules clustering regression strong data scientist,$66000 to $150000
20,chicago,northwestern university,"Chicago, IL",individual will be mentored by a faculty member of the division of biostatistics and will provide statistical analysis support for a variety of translational,statistical analyst,chicago individual will be mentored by a faculty member of the division of biostatistics and will provide statistical analysis support for a variety of translational statistical analyst,$66000 to $150000
21,chicago,kar auction services inc,"Chicago, IL",interpret problems and develop solutions to business problems using data analysis data mining optimization tools machine learning techniques and statistics,data scientist,chicago interpret problems and develop solutions to business problems using data analysis data mining optimization tools machine learning techniques and statistics data scientist,$66000 to $150000
22,chicago,bp,"Chicago, IL",this may include the creation of specialist interfaces and transformation routines so that the data can be used by data scientist and other data specialists,data analyst,chicago this may include the creation of specialist interfaces and transformation routines so that the data can be used by data scientist and other data specialists data analyst,$66000 to $150000
23,chicago,bmo financial group,"Chicago, IL",analyze financial data to extract relevant information that can help line of business and treasury to better manage multiple financial products and processes,quantitative analyst,chicago analyze financial data to extract relevant information that can help line of business and treasury to better manage multiple financial products and processes quantitative analyst,below $66000
24,chicago,pathfinder,"Chicago, IL",to apply please send your resume to careers pathfindertalent com and state the reference ayvg 877675 in the emartificial intelligencel subject,data scientist chicago,chicago to apply please send your resume to careers pathfindertalent com and state the reference ayvg 877675 in the emartificial intelligencel subject data scientist chicago,$66000 to $150000
25,chicago,ann robert h lurie children s hospital of chica,"Chicago, IL",the data scientist will work within the data analytic reporting team to conceive propose perform and evaluate exploratory data analysis and predictive,data scientist,chicago the data scientist will work within the data analytic reporting team to conceive propose perform and evaluate exploratory data analysis and predictive data scientist,$66000 to $150000
26,chicago,brady corporation,"Chicago, IL",data scientist americas you will be ultimately responsible for all analytic data relationships prior to performing data analysis,data scientist,chicago data scientist americas you will be ultimately responsible for all analytic data relationships prior to performing data analysis data scientist,$66000 to $150000
27,chicago,lucas group,"Chicago, IL 60606",analytic services where the data scientist work leverages a large data science group distributed over their 7 offices 4 in the us,data scientist consultant,chicago analytic services where the data scientist work leverages a large data science group distributed over their 7 offices 4 in the us data scientist consultant,$66000 to $150000
28,chicago,abbott laboratories,"Lake Forest, IL",the candidate will be responsible for working on complex problems discovering business specific insights and identifying opportunities using statistical,informatics data scientist,chicago the candidate will be responsible for working on complex problems discovering business specific insights and identifying opportunities using statistical informatics data scientist,$66000 to $150000
29,san francisco,komodo health,"San Francisco, CA",komodo health is transforming predictive analytic in enterprise healthcare with its proprietary data cloud and streaming data platform,data scientist,san francisco komodo health is transforming predictive analytic in enterprise healthcare with its proprietary data cloud and streaming data platform data scientist,$66000 to $150000
30,san francisco,ancestry,"San Francisco, CA",help mentor other data scientist in the team reporting directly to the senior director of data science you will be a member of the global data science,principle data scientist,san francisco help mentor other data scientist in the team reporting directly to the senior director of data science you will be a member of the global data science principle data scientist,above $150000
31,san francisco,pentasia,"San Francisco, CA",this data scientist should have experience building predictive models creating standardized reports and forecasts and being able to provide insights on the,data scientist interactive gaming,san francisco this data scientist should have experience building predictive models creating standardized reports and forecasts and being able to provide insights on the data scientist interactive gaming,above $150000
32,san francisco,cisco,"San Francisco, CA",people processes data and things strong experience with data analysis and software engineering in this highly visible role as a data science engineer you,data scientist,san francisco people processes data and things strong experience with data analysis and software engineering in this highly visible role as a data science engineer you data scientist,$66000 to $150000
33,san francisco,visa,"San Francisco, CA 94105 (Financial District area)",recruiting developing and retartificial intelligencening a world class team of 25 decision scientist partnering with our analytic team to identify trends in our projects that,vp predictive modeling,san francisco recruiting developing and retartificial intelligencening a world class team of 25 decision scientist partnering with our analytic team to identify trends in our projects that vp predictive modeling,above $150000
34,san francisco,pinterest,"San Francisco, CA 94103 (South Of Market area)",2 years of work experience applying scientific methods to solve real world problems on web scale data you ll apply quantitative analysis modeling and data,data scientist,san francisco 2 years of work experience applying scientific methods to solve real world problems on web scale data you ll apply quantitative analysis modeling and data data scientist,above $150000
35,san francisco,cardinal hire,"San Francisco Bay Area, CA",4 years of experience applying advanced artificial intelligence techniques e g machine learning predictive analytic optimization semantic analysis time series analysis,data scientist,san francisco 4 years of experience applying advanced artificial intelligence techniques e g machine learning predictive analytic optimization semantic analysis time series analysis data scientist,above $150000
36,san francisco,stitch fix,"San Francisco, CA",high skill in data visualization big plus strong skills in statistics probability and or machine learning fluency in r python or julia,data scientist,san francisco high skill in data visualization big plus strong skills in statistics probability and or machine learning fluency in r python or julia data scientist,$66000 to $150000
37,san francisco,wittaff,"San Francisco Bay Area, CA",deep knowledge in optimal computational environment required for data processing data mining and machine learning,data scientist,san francisco deep knowledge in optimal computational environment required for data processing data mining and machine learning data scientist,above $150000
38,san francisco,eventbrite,"San Francisco, CA 94107 (South Of Market area)",we sit in a strategic role working to make sense of our structured and unstructured customer data with sophisticated models and data mining techniques in depth,data scientist data insights,san francisco we sit in a strategic role working to make sense of our structured and unstructured customer data with sophisticated models and data mining techniques in depth data scientist data insights,above $150000
39,san francisco,siriusxm,"San Francisco, CA 94110 (Mission area)",1 years of experience in advanced analytic model building statistical modeling optimization and machine learning algorithms,junior data scientist automatic labs,san francisco 1 years of experience in advanced analytic model building statistical modeling optimization and machine learning algorithms junior data scientist automatic labs,above $150000
40,san francisco,eero,"San Francisco, CA",working closely with our product engineering leadership you will dig deep into the largest data set from consumer wifi networks ever compiled to develop new,r d data scientist,san francisco working closely with our product engineering leadership you will dig deep into the largest data set from consumer wifi networks ever compiled to develop new r d data scientist,above $150000
41,san francisco,lyft corporate,"San Francisco, CA",data scientist also build evaluation methodology for these foundational algorithms including a high fidelity simulation environment,data scientist all levels,san francisco data scientist also build evaluation methodology for these foundational algorithms including a high fidelity simulation environment data scientist all levels,above $150000
42,san francisco,ebay inc,"San Francisco, CA",collaborate with others in data science and analytic on data mining and predictive modeling as required phd in operations research machine learning computer,data scientist ad tech,san francisco collaborate with others in data science and analytic on data mining and predictive modeling as required phd in operations research machine learning computer data scientist ad tech,above $150000
43,san francisco,ancestry,"San Francisco, CA",by joining this data science team you will be a member of the global data science machine learning team tackling our toughest and most exciting data science,data scientist,san francisco by joining this data science team you will be a member of the global data science machine learning team tackling our toughest and most exciting data science data scientist,above $150000
44,seattle,kpmg,"Seattle, WA 98104",analyze and model structured data and implement algorithms to support analysis using advanced statistical and mathematical methods from statistics machine,data scientist,seattle analyze and model structured data and implement algorithms to support analysis using advanced statistical and mathematical methods from statistics machine data scientist,$66000 to $150000
45,seattle,zillow,"Seattle, WA 98101",experience mentoring leading other data scientist youll collaborate with and mentor other experienced data scientist and leverage your experience to lead,principal data scientist,seattle experience mentoring leading other data scientist youll collaborate with and mentor other experienced data scientist and leverage your experience to lead principal data scientist,above $150000
46,seattle,indeed,"Seattle, WA 98104",use quantitative analysis data mining and machine learning techniques to understand how hundreds of millions of jobseekers and employers are interacting on,product scientist,seattle use quantitative analysis data mining and machine learning techniques to understand how hundreds of millions of jobseekers and employers are interacting on product scientist,above $150000
47,seattle,alaska airlines,"Seattle, WA 98188",manages the full data lifecycle including data collection data mining data integration data analysis extracting insights and results visualization,data scientist,seattle manages the full data lifecycle including data collection data mining data integration data analysis extracting insights and results visualization data scientist,$66000 to $150000
48,seattle,amazon corporate llc,"Seattle, WA",2 years of industrial or research experience in predictive modeling data science and machine learning experience in mentoring team members and guiding them,data scientist,seattle 2 years of industrial or research experience in predictive modeling data science and machine learning experience in mentoring team members and guiding them data scientist,above $150000
49,seattle,thirdeye data inc,"Seattle, WA",build solutions that will be applied in real time contexts such as recommendation engines inventory management pricing etc using machine learning,data scientist,seattle build solutions that will be applied in real time contexts such as recommendation engines inventory management pricing etc using machine learning data scientist,above $150000
50,seattle,lyft corporate,"Seattle, WA",data scientist also build evaluation methodology for these foundational algorithms including a high fidelity simulation environment,data scientist all levels seattle,seattle data scientist also build evaluation methodology for these foundational algorithms including a high fidelity simulation environment data scientist all levels seattle,$66000 to $150000
51,seattle,idealseat,"Seattle, WA",idealseat data scientist are focused on collecting and analyzing data and assisting with our expansion into new sports and music genres,data scientist,seattle idealseat data scientist are focused on collecting and analyzing data and assisting with our expansion into new sports and music genres data scientist,$66000 to $150000
52,seattle,rei,"Kent, WA 98032",rei is looking for an experienced data scientist to help further as a data scientist predictive analyst statistician or quantitative analyst,data scientist marketing,seattle rei is looking for an experienced data scientist to help further as a data scientist predictive analyst statistician or quantitative analyst data scientist marketing,$66000 to $150000
53,seattle,textio,"Seattle, WA 98101 (Downtown area)",our augmented writing platform is delighting customers and we are looking for creative data scientist to join our team and build genre defining data products,data scientist,seattle our augmented writing platform is delighting customers and we are looking for creative data scientist to join our team and build genre defining data products data scientist,$66000 to $150000
54,seattle,google,"Seattle, WA",deep interest and aptitude in data metrics analysis and trends and applied knowledge of measurement statistics and program evaluation,product analyst data science,seattle deep interest and aptitude in data metrics analysis and trends and applied knowledge of measurement statistics and program evaluation product analyst data science,$66000 to $150000
55,seattle,boeing,"Tukwila, WA",as a member of the boeing commercial artificial intelligencerplanes analytic team the data scientist will work with a group of data scientist in the seattle area to analyze data,data scientist,seattle as a member of the boeing commercial artificial intelligencerplanes analytic team the data scientist will work with a group of data scientist in the seattle area to analyze data data scientist,$66000 to $150000
56,seattle,amazon corporate llc,"Seattle, WA",we are seeking data scientist to join our data science and engineering team use data mining model building and other analytical techniques to develop and,chicago data scientist event consumer payments,seattle we are seeking data scientist to join our data science and engineering team use data mining model building and other analytical techniques to develop and chicago data scientist event consumer payments,above $150000
57,seattle,thrift books,"Tukwila, WA",experience with pandas scikit learn and other modern data manipulation and machine learning tools the data scientist and predictive analytic manager will be,data scientist and predictive analytic manager,seattle experience with pandas scikit learn and other modern data manipulation and machine learning tools the data scientist and predictive analytic manager will be data scientist and predictive analytic manager,above $150000
58,seattle,amazon corporate llc,"Seattle, WA",4 years of relevant work experience in data science business analytic business intelligence bi or comparable experience in other big data environments,data scientist private label apparel,seattle 4 years of relevant work experience in data science business analytic business intelligence bi or comparable experience in other big data environments data scientist private label apparel,above $150000
59,new york,verizon,"New York, NY 10003",bachelor s master s degree in statistics math economics engineering computer science business analytic data science or a related field,senior data scientist,new york bachelor s master s degree in statistics math economics engineering computer science business analytic data science or a related field senior data scientist,$66000 to $150000
60,new york,komodo health,"New York, NY",komodo health is transforming predictive analytic in enterprise healthcare with its proprietary data cloud and streaming data platform,data scientist,new york komodo health is transforming predictive analytic in enterprise healthcare with its proprietary data cloud and streaming data platform data scientist,$66000 to $150000
61,new york,workfusion,"New York, NY",deep learning via multilayered neural networks are pushing the state of the art forward for many machine learning applications in diverse domartificial intelligencens,deep learning data scientist,new york deep learning via multilayered neural networks are pushing the state of the art forward for many machine learning applications in diverse domartificial intelligencens deep learning data scientist,above $150000
62,new york,dstillery,"New York, NY",expertise in statistical modeling machine learning and optimization and fluency in the related technical tools python or r preferred,data scientist,new york expertise in statistical modeling machine learning and optimization and fluency in the related technical tools python or r preferred data scientist,$66000 to $150000
63,new york,voca,"New York, NY",the intern data scientist will collaborate with our data scientist team for modeling complex financial economics problems discovering insights and identifying,intern data scientist,new york the intern data scientist will collaborate with our data scientist team for modeling complex financial economics problems discovering insights and identifying intern data scientist,$66000 to $150000
64,new york,ibm,"New York, NY",advanced analytic is a key function on the analytic side of the analytic data practice in ibm marketing,data scientist,new york advanced analytic is a key function on the analytic side of the analytic data practice in ibm marketing data scientist,$66000 to $150000
65,new york,factset,"New York, NY 10279 (Financial District area)",creative data scientist and be interested in the scientist and engineer design build and deploy machine learning models for,data scientist,new york creative data scientist and be interested in the scientist and engineer design build and deploy machine learning models for data scientist,$66000 to $150000
66,new york,enterprise select,"New York, NY 10005 (Financial District area)",as a candidate you can expect to use predictive modeling statistics machine learning data mining and other data analysis techniques to extract insights,data scientist,new york as a candidate you can expect to use predictive modeling statistics machine learning data mining and other data analysis techniques to extract insights data scientist,above $150000
67,new york,wink,"New York, NY",recognize that sometimes if not most times the simple solution is the best solution as a member of the data science team you will share responsibility for,data scientist,new york recognize that sometimes if not most times the simple solution is the best solution as a member of the data science team you will share responsibility for data scientist,above $150000
68,new york,blue state digital,"New York, NY",deep familiarity with the core concepts advantages and tradeoffs of relational and nonrelational data systems,data scientist,new york deep familiarity with the core concepts advantages and tradeoffs of relational and nonrelational data systems data scientist,$66000 to $150000
69,new york,squarespace,"New York, NY 10014 (West Village area)",we are seeking multiple data scientist who demonstrate sharp intellectual curiosity data fluency and a collaborative work ethic,data scientist,new york we are seeking multiple data scientist who demonstrate sharp intellectual curiosity data fluency and a collaborative work ethic data scientist,$66000 to $150000
70,new york,citi,"New York, NY",must have a master s degree in applied mathematics physics finance or computer science or related field and 6 years of experience creating and implementing,quantitative analyst,new york must have a master s degree in applied mathematics physics finance or computer science or related field and 6 years of experience creating and implementing quantitative analyst,below $66000
71,new york,stratford solutions inc,"New York, NY",follows industry trends in related data analytic processes and businesses degree in computer science math or related technical area preferred or advanced,data scientist,new york follows industry trends in related data analytic processes and businesses degree in computer science math or related technical area preferred or advanced data scientist,$66000 to $150000
72,new york,kpmg,"New York, NY 10154",kpmg is currently seeking a data scientist to join our advanced data analytic organization analyze and model structured data and implement algorithms to,data scientist,new york kpmg is currently seeking a data scientist to join our advanced data analytic organization analyze and model structured data and implement algorithms to data scientist,above $150000
73,new york,kpmg,"New York, NY 10154",kpmg is currently seeking a data scientist big data analytic to join our advanced data analytic organization,data scientist big data analytic,new york kpmg is currently seeking a data scientist big data analytic to join our advanced data analytic organization data scientist big data analytic,above $150000
74,austin,indeed,"Austin, TX 78731",work closely with stakeholders on the data demand side finance analyst and data scientist create and manage data sources,data engineer,austin work closely with stakeholders on the data demand side finance analyst and data scientist create and manage data sources data engineer,$66000 to $150000
